"Header Size"           ,16              
"Model Name"            ,"WT1800        "
"Comment"               ,"                         "
"BlockNumber"           ,1               
"TraceName"             ,"U1            ","I1            ","U2            ","I2            ","U3            ","I3            "
"BlockSize"             ,1602            ,1602            ,1602            ,1602            ,1602            ,1602            
"VUnit"                 ,"V             ","A             ","V             ","A             ","V             ","A             "
"SampleRate"            ,32000.0         ,32000.0         ,32000.0         ,32000.0         ,32000.0         ,32000.0         
"HResolution"           ,3.1250000E-05   ,3.1250000E-05   ,3.1250000E-05   ,3.1250000E-05   ,3.1250000E-05   ,3.1250000E-05   
"HOffset"               ,0.0000000E+00   ,0.0000000E+00   ,0.0000000E+00   ,0.0000000E+00   ,0.0000000E+00   ,0.0000000E+00   
"HUnit"                 ,"s             ","s             ","s             ","s             ","s             ","s             "
"DisplayBlockSize"      ,1602            ,1602            ,1602            ,1602            ,1602            ,1602            
"DisplayPointNo."       ,1               ,1               ,1               ,1               ,1               ,1               
"PhaseShift"            ,0.000000        ,0.000000        ,0.000000        ,0.000000        ,0.000000        ,0.000000        
"Date"                  ,"2023/03/16    ","2023/03/16    ","2023/03/16    ","2023/03/16    ","2023/03/16    ","2023/03/16    "
"Time"                  ,"08:42:56      ","08:42:56      ","08:42:56      ","08:42:56      ","08:42:56      ","08:42:56      "

"$PrivateInfo"
"Model","WT1800E"
"Comment",""
"Version","3.24"
"Date","2023/03/16"
"Time","08:42:56"

"<Settings>"
"Measurement Mode","Normal Mode"
"Sigma","SigmaA","SigmaB"
"Sigma Wiring","3V3A","3V3A"
"Delta Measure Type","Delta->Star","Delta->Star"
"Delta Measure Mode","RMS"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"Module","1kV50A","1kV50A","1kV50A","1kV50A","1kV50A","1kV50A"
"Wiring","SigmaA(3V3A)","SigmaA(3V3A)","SigmaA(3V3A)","SigmaB(3V3A)","SigmaB(3V3A)","SigmaB(3V3A)"
"Voltage Range","300V","300V","300V","600V","600V","600V"
"Terminal","Sensor","Sensor","Sensor","Sensor","Sensor","Sensor"
"Current Range","200mV","200mV","200mV","200mV","200mV","200mV"
"Sensor Preset","Others","Others","Others","Others","Others","Others"
"Sensor Ratio","10.0000","10.0000","10.0000","0.1000","0.1000","0.1000"
"Line Filter","Off","Off","Off","Off","Off","Off"
"Frequency Filter","1kHz","1kHz","1kHz","Off","Off","Off"
"Ct Preset","Others","Others","Others","Others","Others","Others"
"Scaling","Off","Off","Off","Off","Off","Off"
"Vt Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Ct Ratio","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Scaling Factor","1.0000","1.0000","1.0000","1.0000","1.0000","1.0000"
"Sync Source","U1","U1","U1","None","None","None"
"WP Type","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge","Charge/Discharge"
"q Mode","dc","dc","dc","dc","dc","dc"
"Null U","Off","Off","Off","Off","Off","Off"
"Null I","Off","Off","Off","Off","Off","Off"
"Element Independent","Off"
"Average","Off"
"F1(Avg-W)","Off"
"F2(P-loss)","Off"
"F3(U-ripple)","Off"
"F4(I-ripple)","Off"
"F5(D-UrmsR)","Off"
"F6(D-UrmsS)","Off"
"F7(D-UrmsT)","Off"
"F8(D-UmnR)","Off"
"F9(D-UmnS)","Off"
"F10(D-UmnT)","Off"
"F11(PhiU3-U2)","Off"
"F12(PhiI1-I2)","Off"
"F13(PhiI2-I3)","Off"
"F14(PhiI3-I1)","Off"
"F15(Pp-p)","Off"
"F16(F16)","Off"
"F17(F17)","Off"
"F18(F18)","Off"
"F19(F19)","Off"
"F20(F20)","Off"
"Evt1(Ev1)","Off"
"Evt2(Ev2)","Off"
"Evt3(Ev3)","Off"
"Evt4(Ev4)","Off"
"Evt5(Ev5)","Off"
"Evt6(Ev6)","Off"
"Evt7(Ev7)","Off"
"Evt8(Ev8)","Off"
"S Formula","Urms X Irms"
"S,Q Formula","Type 1"
"PC Formula","IEC76(1976)","0.5000","0.5000"
"Phase Angle","180 degree"
"Update Rate","500ms"
"Crest Factor","3"
"eta1 Formula","P-SigB/P-SigA*100"
"eta2 Formula","Off"
"eta3 Formula","Off"
"eta4 Formula","Off"

"<Settings (Harmonics)>"
"Element","Element1","Element2","Element3","Element4","Element5","Element6"
"PLL Source","I1","I1","I1","I1","I1","I1"
"Order","1 To 50","1 To 50","1 To 50","1 To 50","1 To 50","1 To 50"
"THD Formula","Total","Total","Total","Total","Total","Total"

,"U1","I1","U2","I2","U3","I3",
"$WaveData"
,-516.74E+00,-3.987E+00,-516.56E+00,-21.685E+00,-1.95E+00,14.267E+00,
,1.82E+00,3.444E+00,-514.38E+00,-13.422E+00,517.21E+00,21.954E+00,
,-516.81E+00,-3.309E+00,-514.90E+00,-23.138E+00,-2.70E+00,14.585E+00,
,0.78E+00,2.843E+00,2.85E+00,-16.219E+00,-0.91E+00,21.289E+00,
,-520.32E+00,-3.617E+00,-517.87E+00,-24.045E+00,-2.27E+00,11.978E+00,
,0.13E+00,3.649E+00,2.65E+00,-8.971E+00,-0.74E+00,25.049E+00,
,-516.25E+00,-0.858E+00,-515.03E+00,-22.739E+00,-1.82E+00,14.100E+00,
,0.85E+00,5.814E+00,-513.21E+00,-14.786E+00,515.51E+00,22.031E+00,
,-2.48E+00,-3.072E+00,-515.78E+00,-30.029E+00,-2.50E+00,11.735E+00,
,1.11E+00,5.839E+00,2.78E+00,-13.675E+00,517.57E+00,24.105E+00,
,-517.33E+00,2.103E+00,-516.08E+00,-24.442E+00,-2.47E+00,12.469E+00,
,0.88E+00,8.782E+00,-514.06E+00,-13.297E+00,515.55E+00,21.050E+00,
,-517.49E+00,-1.554E+00,-515.75E+00,-25.647E+00,-2.44E+00,12.126E+00,
,1.56E+00,6.934E+00,2.85E+00,-16.198E+00,-0.16E+00,19.360E+00,
,-520.03E+00,2.051E+00,-517.70E+00,-22.175E+00,-2.99E+00,13.248E+00,
,0.49E+00,9.558E+00,2.82E+00,-15.830E+00,-0.03E+00,21.740E+00,
,-518.27E+00,0.967E+00,-518.26E+00,-24.099E+00,-2.60E+00,12.577E+00,
,0.98E+00,6.327E+00,-513.14E+00,-13.536E+00,517.24E+00,22.124E+00,
,-0.33E+00,1.710E+00,-517.02E+00,-22.300E+00,-2.54E+00,11.319E+00,
,0.91E+00,7.277E+00,2.82E+00,-15.957E+00,516.98E+00,19.547E+00,
,-0.91E+00,1.897E+00,-520.18E+00,-23.960E+00,-1.82E+00,9.294E+00,
,2.15E+00,9.728E+00,2.62E+00,-16.573E+00,521.21E+00,18.058E+00,
,-522.05E+00,4.128E+00,-521.77E+00,-25.125E+00,-2.80E+00,9.284E+00,
,0.55E+00,10.895E+00,-517.12E+00,-17.159E+00,518.48E+00,16.921E+00,
,-525.28E+00,-0.153E+00,-523.01E+00,-27.362E+00,-5.34E+00,8.858E+00,
,2.80E+00,20.026E+00,3.99E+00,-13.559E+00,-0.74E+00,21.580E+00,
,-522.83E+00,5.148E+00,-522.88E+00,-22.828E+00,-2.08E+00,9.010E+00,
,0.68E+00,12.398E+00,-511.81E+00,-14.692E+00,521.70E+00,20.332E+00,
,-0.95E+00,4.843E+00,-521.32E+00,-24.971E+00,-2.44E+00,7.342E+00,
,0.52E+00,14.529E+00,2.59E+00,-13.538E+00,521.15E+00,20.162E+00,
,-1.99E+00,6.972E+00,-523.89E+00,-27.510E+00,-2.47E+00,3.222E+00,
,4.66E+00,13.568E+00,2.82E+00,-16.808E+00,524.44E+00,13.965E+00,
,-0.56E+00,7.065E+00,-523.34E+00,-24.954E+00,521.87E+00,7.361E+00,
,0.42E+00,13.123E+00,-521.81E+00,-17.311E+00,523.01E+00,13.942E+00,
,-527.27E+00,9.121E+00,-528.97E+00,-24.575E+00,-2.67E+00,4.426E+00,
,1.46E+00,16.610E+00,3.14E+00,-17.910E+00,522.97E+00,12.138E+00,
,-4.14E+00,3.633E+00,-525.13E+00,-25.734E+00,-2.21E+00,4.746E+00,
,529.32E+00,15.186E+00,3.47E+00,-16.864E+00,526.98E+00,18.008E+00,
,-0.52E+00,8.402E+00,-525.49E+00,-26.169E+00,-3.45E+00,4.093E+00,
,0.62E+00,17.259E+00,3.66E+00,-16.111E+00,525.38E+00,13.130E+00,
,-0.75E+00,8.377E+00,-528.87E+00,-24.692E+00,-2.50E+00,3.272E+00,
,0.59E+00,18.699E+00,2.72E+00,-16.190E+00,528.97E+00,11.475E+00,
,-0.65E+00,11.115E+00,-526.76E+00,-23.648E+00,525.45E+00,4.228E+00,
,0.49E+00,16.302E+00,-525.32E+00,-17.490E+00,526.85E+00,11.140E+00,
,-0.69E+00,10.186E+00,-526.86E+00,-24.449E+00,-2.57E+00,0.659E+00,
,529.74E+00,18.518E+00,2.46E+00,-17.244E+00,528.28E+00,10.710E+00,
,-0.75E+00,14.144E+00,-526.95E+00,-23.652E+00,-2.54E+00,3.865E+00,
,530.72E+00,20.244E+00,3.27E+00,-13.975E+00,529.29E+00,9.693E+00,
